"0195153448","Classical Mythology","http://www.openisbn.com/cover/0195153448_72.jpg","844"
"0002005018","Clara Callan: A Novel","http://www.openisbn.com/cover/0002005018_72.jpg","414"
"0060973129","Decision In Normandy","http://www.openisbn.com/cover/0060973129_72.jpg","555"
"0374157065","Flu: The Story Of The Great Influenza Pandemic Of 1918 And The Search For The Virus That Caused It","http://www.openisbn.com/cover/0374157065_72.jpg","256"
"0393045218","The Mummies Of Urumchi","http://www.openisbn.com/cover/0393045218_72.jpg","240"
"0399135782","The Kitchen God's Wife","http://www.openisbn.com/cover/0399135782_72.jpg","415"
"0425176428","What If?: The World's Foremost Military Historians Imagine What Might Have Been","http://www.openisbn.com/cover/0425176428_72.jpg","416"
"0671870432","Pleading Guilty","http://www.openisbn.com/cover/0671870432_72.jpg","0"
"0679425608","Under The Black Flag: The Romance And The Reality Of Life Among The Pirates","http://www.openisbn.com/cover/0679425608_72.jpg","296"
"074322678X","Where You'll Find Me: And Other Stories","http://www.openisbn.com/cover/074322678X_72.jpg","208"
"0771074670","Nights Below Station Street","http://www.openisbn.com/cover/0771074670_72.jpg","225"
"080652121X","Hitler's Secret Bankers: The Myth Of Swiss Neutrality During The Holocau: The Myth Of Swiss Neutrality During The Holocaust","http://www.openisbn.com/cover/080652121X_72.jpg","293"
"0887841740","The Middle Stories","http://www.openisbn.com/cover/0887841740_72.jpg","160"
"1552041778","Jane Doe","http://www.openisbn.com/cover/1552041778_72.jpg","0"
"1558746218","A Second Chicken Soup For The Woman's Soul (Chicken Soup For The Soul)","http://www.openisbn.com/cover/1558746218_72.jpg","328"
"1567407781","The Witchfinder (Amos Walker Series)","http://www.openisbn.com/cover/1567407781_72.jpg","0"
"1575663937","More Cunning Than Man: A Social History Of Rats And Man","http://www.openisbn.com/cover/1575663937_72.jpg","288"
"1881320189","Goodbye To The Buttermilk Sky","http://www.openisbn.com/cover/1881320189_72.jpg","191"
"0440234743","The Testament","http://www.openisbn.com/cover/0440234743_72.jpg","544"
"0452264464","Beloved (Plume Contemporary Fiction)","http://www.openisbn.com/cover/0452264464_72.jpg","275"
"0609804618","Our Dumb Century: The Onion Presents 100 Years Of Headlines From America's Finest News Source","http://www.openisbn.com/cover/0609804618_72.jpg","176"
"1841721522","New Vegetarian: Bold And Beautiful Recipes For Every Occasion","http://www.openisbn.com/cover/1841721522_72.jpg","144"
"1879384493","If I'd Known Then What I Know Now: Why Not Learn From The Mistakes Of Others? You Can't Afford To Make Them All Yourself!","http://www.openisbn.com/cover/1879384493_72.jpg","136"
"0061076031","Mary-Kate & Ashley Switching Goals (Mary-Kate & Ashley Starring In)","http://www.openisbn.com/cover/0061076031_72.jpg","128"
"0439095026","Tell Me This Isn't Happening","http://www.openisbn.com/cover/0439095026_72.jpg","144"
"0689821166","Flood : Mississippi 1927","http://www.openisbn.com/cover/0689821166_72.jpg","176"
"0971880107","Wild Animus: A Novel","http://www.openisbn.com/cover/0971880107_72.jpg","315"
"0345402871","Airframe","http://www.openisbn.com/cover/0345402871_72.jpg","448"
"0345417623","Timeline","http://www.openisbn.com/cover/0345417623_72.jpg","512"
"0684823802","Out Of The Silent Planet","http://www.openisbn.com/cover/0684823802_72.jpg","160"
"0375759778","Prague: A Novel","http://www.openisbn.com/cover/0375759778_72.jpg","400"
"0425163091","Chocolate Jesus","http://www.openisbn.com/cover/0425163091_72.jpg","249"
"3404921038","Wie Barney Es Sieht. Roman","http://www.openisbn.com/cover/3404921038_72.jpg","574"
"3442353866","Der Fluch Der Kaiserin","http://www.openisbn.com/cover/3442353866_72.jpg","0"
