"1","0195153448"
"2","0195153448"
"3","0002005018"
"4","0060973129"
"5","0374157065"
"6","0374157065"
"7","0393045218"
"8","0399135782"
"9","0425176428"
"10","0671870432"
"11","0679425608"
"12","074322678X"
"13","0771074670"
"14","080652121X"
"15","0887841740"
"16","1552041778"
"17","1558746218"
"18","1567407781"
"19","1575663937"
"20","1881320189"
"21","0440234743"
"22","0452264464"
"23","0609804618"
"24","1841721522"
"25","1879384493"
"26","0061076031"
"27","0439095026"
"28","0689821166"
"29","0971880107"
"30","0345402871"
"30","0345417623"
"12","0684823802"
"31","0375759778"
"9","0425163091"
"32","3404921038"
"33","3442353866"
"34","3442410665"
"35","3442446937"
"36","0375406328"
"37","0446310786"
"30","0449005615"
"38","0060168013"
"39","038078243X"
"40","055321215X"
"41","067176537X"
"42","0061099686"
"43","0553582909"
"44","0671888587"
"43","0553582747"
"45","0425182908"
"45","042518630X"
"21","0440223571"
"46","0812523873"
"47","0842342702"
"21","0440225701"
"38","0060914068"
"48","0156047624"
"49","0245542957"
"50","0380715899"
"43","0553280333"
"51","0961769947"
"52","0964778319"
"44","0671623249"
"53","0679810307"
"53","0679865691"
"54","2070423204"
"30","0345260317"
"11","0394743741"
"45","042511774X"
"30","0804106304"
"55","1853262404"
"56","0312970242"
"57","1853260053"
"58","1414035004"
"59","0060938412"
"60","0140067477"
"30","0345465083"
"61","0451625889"
"62","1558531025"
"63","0441783589"
"53","0394895894"
"64","1569871213"
"65","0375410538"
"66","0966986105"
"67","087113375X"
"68","0340767936"
"69","0743403843"
"70","0060930365"
"71","0060177586"
"72","0071416331"
"11","0375509038"
"73","0553062042"
"74","0316769487"
"75","0316769487"
"11","0679429220"
"44","0671867156"
"76","0312252617"
"76","0312261594"
"77","0316748641"
"77","0316973742"
"78","0385235941"
"79","0446677450"
"61","0451166892"
"43","0553347594"
"80","0671621009"
"81","067976397X"
"80","0684822733"
"82","0786868716"
"83","0671864769"
"84","0671521519"
"21","0440222303"
"56","0312953453"
"37","0446608653"
"37","0446612545"
"37","0446612618"
"61","0451208080"
"43","0553584383"
"85","0671027360"
"86","0812575954"
"77","0316735736"
"44","0743439740"
"30","0345372700"
"87","0380619458"
"88","0446325805"
"89","0451406923"
"44","0671042858"
"90","0743249992"
"91","0840734530"
"45","0425184226"
"11","0375500766"
"92","9724119378"
"61","0451205197"
"93","0060929790"
"94","0060976845"
"42","0061099325"
"44","0671004573"
"88","0446601640"
"95","0446601640"
"96","0330484516"
"97","038572179X"
"7","0393020371"
"98","1900850303"
"99","1903019699"
"100","0345425294"
"89","0451410319"
"43","0553583468"
"39","0380778556"
"101","0451525221"
"102","0002740230"
"103","0385336772"
"53","0440949424"
"104","0505524996"
"105","0140252800"
"106","0451452755"
"107","0812575482"
"37","044651747X"
"108","0060801263"
"39","0061030147"
"109","0140250964"
"88","0446527165"
"84","0671461494"
"110","0385337639"
"111","039575514X"
"61","0451206673"
"112","0330332775"
"113","0486284735"
"28","0671021745"
"28","0671047612"
"114","0671504282"
"115","0399138684"
"116","0785263292"
"117","0830714014"
"118","0345354931"
"119","0553278223"
"120","3150000335"
"121","3150000335"
"122","3150000335"
"123","3150000335"
"124","3257203659"
"125","3257207522"
"125","3257208626"
"125","3257208634"
"124","3257208669"
"124","3257210450"
"125","3257212054"
"125","3257212429"
"124","3257214154"
"125","3257216416"
"125","3257233051"
"126","342311360X"
"126","3423116714"
"126","3423241489"
"127","3426605686"
"128","3453212150"
"129","3462021095"
"130","3492045642"
"131","3498020862"
"132","3499110695"
"132","3499151502"
"133","3518111000"
"134","3548254268"
"135","3570300099"
"136","3596292646"
"137","3596292646"
"70","0060977493"
"86","0312872682"
"74","0316602906"
"75","0316602906"
"74","0316693006"
"138","0316693006"
"30","0345311396"
"139","0345378490"
"30","0345404793"
"30","0345433173"
"65","0375400117"
"81","0375705856"
"39","0380717018"
"39","0380718332"
"87","0380754509"
"59","038076654X"
"39","0380807866"
"140","0385316895"
"78","0385497466"
"78","0385508042"
"78","0385509456"
"78","0385511612"
"141","0385730586"
"45","0425164403"
"142","0440234964"
"143","0446605484"
"37","0446610399"
"30","0449006522"
"30","0449911004"
"61","0451162072"
"61","0451186648"
"144","0452282152"
"145","051513290X"
"43","0553580388"
"27","0590598848"
"146","0590629719"
"84","0671023616"
"44","0671027387"
"12","0684848783"
"147","0743486226"
"82","0786863986"
"148","0803251718"
"149","0804117934"
"97","140003180X"
"150","155874262X"
"95","155874262X"
"59","0060987103"
"151","0151008116"
"81","0375704965"
"152","0525947647"
"149","0804111359"
"150","1558744150"
"95","1558744150"
"153","0435272683"
"74","0316782505"
"75","0316782505"
"42","006102063X"
"154","0060013117"
"154","0060199563"
"155","006052779X"
"155","0060563079"
"94","0060809027"
"154","0061040967"
"156","0061050474"
"156","0061052515"
"157","0061052523"
"158","0064472264"
"159","0140620664"
"160","0312148267"
"160","0312156960"
"161","0312890044"
"118","034543191X"
"162","0373836023"
"163","0375751513"
"164","0375801677"
"164","0375814248"
"164","0375823352"
"164","037582345X"
"164","0375823468"
"70","0380730448"
"165","0380973839"
"166","0385327773"
"11","0394586239"
"167","0439510112"
"21","0440241413"
"89","0451409256"
"101","0451523415"
"101","0451526279"
"61","0451526341"
"113","0486415864"
"43","0553280589"
"168","0571197639"
"169","0670035262"
"170","0679423079"
"81","0679751343"
"69","0684833395"
"171","0743245024"
"172","0749748001"
"172","0749748028"
"173","0963094424"
"174","1401201172"
"175","1563892278"
"176","1563898586"
"177","156971620X"
"178","1592571301"
"179","0374270325"
"81","0375719180"
"21","0440235502"
"21","044023722X"
"180","1573225487"
"55","1853260673"
"70","0060977477"
"30","0345391691"
"181","0520011171"
"182","0553278746"
"183","0670856045"
"184","0872200760"
"185","0937858994"
"186","0671649949"
"187","0590431110"
"188","0064470113"
"53","0553571486"
"189","0972044205"
